Pos,2P,FT,TRB,AST,STL,PTS
SG,0.50 ,0.8 ,6 ,6 ,2 ,17 
PG,0.55 ,0.9 ,0 ,1 ,0 ,9 
SG,0.49 ,0.7 ,5 ,2 ,2 ,5 
SF,0.42 ,0.7 ,2 ,1 ,0 ,5 
C,0.45 ,0.7 ,12 ,2 ,0 ,10 
PG,0.50 ,0.8 ,0 ,0 ,0 ,4 
SF,0.31 ,0.4 ,0 ,0 ,0 ,1 
PG,0.55 ,0.8 ,0 ,0 ,0 ,6 
C,0.50 ,0.7 ,5 ,2 ,0 ,15 
SG,0.52 ,0.6 ,0 ,0 ,0 ,2 
SF,0.47 ,0.7 ,3 ,1 ,1 ,9 
C,0.40 ,0.6 ,0 ,0 ,0 ,2 
C,0.44 ,0.6 ,0 ,0 ,0 ,3 
C,0.50 ,,0 ,0 ,0 ,1 
C,0.00 ,,0 ,0 ,0 ,0 
SF,0.52 ,0.8 ,6 ,4 ,1 ,28 
SF,0.50 ,0.8 ,5 ,3 ,2 ,20 
SG,0.53 ,0.9 ,1 ,3 ,1 ,10 
SF,0.44 ,0.8 ,1 ,0 ,0 ,4 
PG,0.47 ,0.8 ,4 ,3 ,1 ,14 
SG,0.46 ,0.8 ,3 ,5 ,2 ,20 
PG,0.33 ,0.9 ,0 ,1 ,0 ,2 
PG,0.48 ,0.8 ,1 ,2 ,1 ,9 
SG,0.47 ,0.7 ,3 ,4 ,1 ,23 
PF,0.48 ,0.7 ,4 ,1 ,0 ,6 
SG,0.51 ,0.8 ,3 ,2 ,1 ,21 
C,0.62 ,0.7 ,11 ,2 ,1 ,19 
SG,0.59 ,0.8 ,1 ,2 ,0 ,9 
C,0.47 ,0.8 ,8 ,2 ,0 ,13 
SG,0.39 ,0.8 ,1 ,1 ,0 ,4 
PG,0.38 ,0.5 ,0 ,0 ,0 ,2 
SG,0.40 ,0.2 ,0 ,0 ,0 ,1 
C,0.38 ,0.7 ,2 ,0 ,0 ,2 
PG,0.48 ,0.9 ,2 ,7 ,2 ,13 
PF,0.44 ,0.8 ,3 ,0 ,0 ,6 
PF,0.46 ,0.7 ,5 ,1 ,0 ,6 
SF,0.47 ,0.8 ,1 ,1 ,0 ,6 
SG,0.48 ,0.7 ,4 ,3 ,2 ,23 
SF,0.50 ,0.7 ,2 ,1 ,1 ,7 
SG,0.50 ,0.6 ,1 ,1 ,0 ,5 
SF,0.43 ,0.8 ,3 ,3 ,1 ,8 
PG,0.54 ,0.7 ,2 ,5 ,2 ,10 
PF,0.47 ,0.8 ,2 ,1 ,0 ,4 
C,0.56 ,0.5 ,0 ,0 ,0 ,2 
PG,0.49 ,0.8 ,2 ,7 ,2 ,13 
SF,0.47 ,0.7 ,2 ,1 ,0 ,5 
PF,0.50 ,0.7 ,7 ,1 ,1 ,16 
SG,0.52 ,0.8 ,2 ,4 ,1 ,11 
PG,0.47 ,0.8 ,2 ,5 ,1 ,8 
SG,0.46 ,0.8 ,2 ,2 ,1 ,8 
